Country of origin,Country of asylum,FDP,rank
Afghanistan,Pakistan,18485160,1
Afghanistan,Iran,10772077,2
Myanmar,Bangladesh,6140313,3
South Sudan,Uganda,5571316,4
South Sudan,Sudan,4583054,5
South Sudan,Ethiopia,2933642,6
Venezuela,Peru,1823071,7
Myanmar,Malaysia,1548994,8
Afghanistan,Germany,1413414,9
Myanmar,Thailand,1258822,10
Afghanistan,Türkiye,1024856,11
South Sudan,Kenya,962179,12
Venezuela,USA,780848,13
Venezuela,Brazil,505762,14
South Sudan,Dem. Rep. of the Congo,463549,15
Afghanistan,Austria,407127,16
Afghanistan,Sweden,330999,17
Venezuela,Spain,322440,18
Afghanistan,France,217839,19
Myanmar,India,202893,20
Afghanistan,Greece,191553,21
Afghanistan,United Kingdom,160366,22
Afghanistan,India,152667,23
Afghanistan,Italy,151101,24
Afghanistan,Australia,121914,25
Afghanistan,Switzerland,120194,26
South Sudan,Egypt,99784,27
Afghanistan,Netherlands,84534,28
Afghanistan,Norway,81190,29
Venezuela,Mexico,78724,30
Afghanistan,Belgium,71840,31
Afghanistan,Indonesia,69115,32
Venezuela,Trinidad and Tobago,66734,33
Venezuela,Colombia,63694,34
Afghanistan,Tajikistan,56927,35
Venezuela,Ecuador,41216,36
Afghanistan,Canada,39260,37
Afghanistan,Ukraine,38529,38
Afghanistan,Denmark,36265,39
Myanmar,USA,35829,40
Venezuela,Costa Rica,35437,41
Afghanistan,Finland,33327,42
Afghanistan,Hungary,29187,43
Afghanistan,Bulgaria,28457,44
Venezuela,Canada,26892,45
Myanmar,Japan,25657,46
Afghanistan,USA,23261,47
Venezuela,Panama,19017,48
Afghanistan,Syrian Arab Rep.,17687,49
Afghanistan,Russian Federation,16042,50
South Sudan,Central African Rep.,15967,51
Venezuela,Chile,15275,52
Venezuela,Argentina,14362,53
Afghanistan,Malaysia,14197,54
Afghanistan,Uzbekistan,14172,55
Myanmar,Germany,12183,56
Venezuela,Italy,11820,57
Myanmar,United Kingdom,9941,58
Afghanistan,Azerbaijan,9521,59
Myanmar,Indonesia,9082,60
Myanmar,Netherlands,8253,61
Myanmar,Australia,8200,62
Afghanistan,Kosovo�Serbia,8066,63
Afghanistan,Kazakhstan,7636,64
Venezuela,Paraguay,6792,65
Afghanistan,Spain,5925,66
Venezuela,Germany,5833,67
Venezuela,France,5759,68
Afghanistan,Kyrgyzstan,5135,69
Afghanistan,Ireland,5017,70
Afghanistan,Romania,4398,71
Myanmar,France,4220,72
Venezuela,Uruguay,4006,73
Afghanistan,Belarus,3922,74
Myanmar,Rep. of Korea,3482,75
Afghanistan,Slovakia,3010,76
Venezuela,Belgium,2942,77
Myanmar,Nepal,2603,78
Afghanistan,Poland,2437,79
Afghanistan,Lithuania,2428,80
Afghanistan,Czechia,2273,81
Afghanistan,Luxembourg,2261,82
Afghanistan,Brazil,1955,83
Myanmar,Canada,1906,84
Afghanistan,Kuwait,1845,85
Afghanistan,Croatia,1844,86
Myanmar,Czechia,1738,87
South Sudan,Israel,1694,88
Venezuela,Australia,1685,89
Myanmar,Norway,1636,90
Venezuela,Curacao ,1634,91
Afghanistan,Ecuador,1476,92
Afghanistan,Sri Lanka,1458,93
Afghanistan,North Macedonia,1426,94
South Sudan,Germany,1382,95
South Sudan,Morocco,1236,96
Afghanistan,Slovenia,1158,97
Venezuela,Iceland,1133,98
Afghanistan,Iraq,999,99
South Sudan,Libya,963,100
Afghanistan,Thailand,957,101
Venezuela,Aruba,948,102
Venezuela,Dominican Rep.,941,103
Afghanistan,Portugal,912,104
Venezuela,Sweden,904,105
Venezuela,Suriname,885,106
Venezuela,Bolivia,877,107
South Sudan,Syrian Arab Rep.,847,108
Venezuela,Netherlands,810,109
Afghanistan,New Zealand,792,110
Venezuela,Ireland,786,111
Myanmar,Denmark,740,112
South Sudan,Italy,727,113
Afghanistan,Iceland,707,114
Afghanistan,Latvia,699,115
Myanmar,Greece,698,116
Afghanistan,Rep. of Korea,694,117
Afghanistan,Japan,649,118
Afghanistan,Cyprus,631,119
Venezuela,United Kingdom,624,120
South Sudan,United Kingdom,613,121
Afghanistan,Papua New Guinea,577,122
Afghanistan,Nauru,569,123
Myanmar,Switzerland,557,124
South Sudan,France,535,125
Myanmar,Nauru,511,126
South Sudan,India,500,127
Afghanistan,Nepal,488,128
Afghanistan,Bosnia and Herzegovina,476,129
Myanmar,Sri Lanka,473,130
Afghanistan,Egypt,452,131
South Sudan,USA,452,132
Myanmar,Austria,431,133
Myanmar,Romania,421,134
South Sudan,Malta,407,135
Myanmar,Sweden,398,136
Venezuela,Guatemala,395,137
Myanmar,Pakistan,370,138
Myanmar,Italy,367,139
South Sudan,Lebanon,355,140
Venezuela,Malta,344,141
Venezuela,Austria,343,142
Myanmar,Finland,337,143
Myanmar,Israel,328,144
Venezuela,Switzerland,328,145
Afghanistan,Lebanon,321,146
Afghanistan,Saudi Arabia,320,147
Myanmar,New Zealand,303,148
Myanmar,Iran,302,149
Afghanistan,Chile,294,150
South Sudan,Australia,273,151
Myanmar,Cambodia,272,152
South Sudan,Sweden,270,153
Venezuela,Luxembourg,267,154
Afghanistan,Jordan,265,155
Afghanistan,Rep. of Moldova,262,156
Afghanistan,Cuba,261,157
Afghanistan,China,251,158
Afghanistan,Georgia,245,159
South Sudan,Malaysia,240,160
Myanmar,Belgium,229,161
South Sudan,Greece,227,162
Venezuela,Portugal,224,163
Afghanistan,Turkmenistan,221,164
Myanmar,Ireland,209,165
Myanmar,Saudi Arabia,202,166
Afghanistan,United Arab Emirates,195,167
Afghanistan,South Africa,186,168
South Sudan,Switzerland,184,169
Afghanistan,Estonia,178,170
South Sudan,Norway,178,171
Venezuela,Greece,177,172
Venezuela,Norway,146,173
Myanmar,Türkiye,142,174
South Sudan,Jordan,129,175
South Sudan,Canada,122,176
South Sudan,Austria,118,177
Afghanistan,Philippines,113,178
South Sudan,Eritrea,112,179
Afghanistan,Kenya,109,180
South Sudan,Cameroon,108,181
Venezuela,Finland,108,182
South Sudan,Portugal,105,183
South Sudan,Zimbabwe,105,184
Afghanistan,Panama,98,185
Venezuela,Czechia,93,186
Myanmar,Ukraine,91,187
Afghanistan,Hong Kong,90,188
Afghanistan,Fiji,90,189
Afghanistan,Venezuela,90,190
Venezuela,Denmark,86,191
South Sudan,Iraq,86,192
Myanmar,Philippines,84,193
Afghanistan,Montenegro,82,194
Myanmar,Hungary,80,195
Afghanistan,Argentina,78,196
South Sudan,Tunisia,78,197
Afghanistan,Colombia,74,198
Afghanistan,Madagascar,74,199
Myanmar,Papua New Guinea,74,200
South Sudan,Belgium,70,201
Afghanistan,Morocco,69,202
South Sudan,Chad,62,203
South Sudan,Ghana,62,204
Myanmar,Spain,60,205
Afghanistan,Dominican Rep.,57,206
Afghanistan,Mexico,57,207
Venezuela,Honduras,55,208
South Sudan,Congo,52,209
South Sudan,Niger,52,210
Venezuela,Rep. of Korea,50,211
South Sudan,Spain,50,212
Venezuela,Sint Maarten (Dutch part),49,213
South Sudan,Rwanda,48,214
Myanmar,Brazil,46,215
Afghanistan,Nigeria,45,216
Myanmar,Bulgaria,43,217
Afghanistan,Libya,43,218
South Sudan,Finland,42,219
Venezuela,El Salvador,41,220
Myanmar,Mexico,40,221
Afghanistan,Senegal,40,222
Afghanistan,Liechtenstein,39,223
Afghanistan,Armenia,36,224
Afghanistan,Malta,36,225
Afghanistan,Mongolia,35,226
South Sudan,Türkiye,35,227
South Sudan,United Rep. of Tanzania,35,228
Afghanistan,Ivory Coast,31,229
Venezuela,India,31,230
South Sudan,Gabon,28,231
Venezuela,Poland,27,232
Venezuela,Albania,25,233
South Sudan,Iceland,25,234
Myanmar,Portugal,25,235
Afghanistan,Uruguay,23,236
Afghanistan,Mauritania,22,237
South Sudan,Netherlands,22,238
Myanmar,Egypt,21,239
South Sudan,Namibia,21,240
Venezuela,Israel,20,241
South Sudan,Malawi,20,242
South Sudan,Saudi Arabia,19,243
Afghanistan,Sudan,18,244
South Sudan,Rep. of Korea,16,245
South Sudan,Zambia,16,246
Venezuela,Barbados,15,247
South Sudan,Burkina Faso,15,248
South Sudan,Djibouti,15,249
South Sudan,Hungary,15,250
Venezuela,Jordan,15,251
Myanmar,South Africa,15,252
Venezuela,Bulgaria,10,253
Venezuela,Indonesia,10,254
Venezuela,Lebanon,10,255
South Sudan,Liberia,10,256
South Sudan,Luxembourg,10,257
South Sudan,Mauritania,10,258
Venezuela,Montenegro,10,259
South Sudan,Mozambique,10,260
Venezuela,New Zealand,10,261
Myanmar,North Macedonia,10,262
Afghanistan,Peru,10,263
Myanmar,Singapore,10,264
South Sudan,Burundi,8,265
Afghanistan,Qatar,7,266
Venezuela,Estonia,6,267
Afghanistan,Rwanda,6,268
Afghanistan,Albania,5,269
Afghanistan,Algeria,5,270
Myanmar,Armenia,5,271
Afghanistan,Bangladesh,5,272
South Sudan,Botswana,5,273
Afghanistan,Cayman Islands,5,274
Myanmar,Hong Kong,5,275
South Sudan,Ivory Coast,5,276
Venezuela,Cyprus,5,277
South Sudan,Ireland,5,278
South Sudan,Kuwait,5,279
Venezuela,Kyrgyzstan,5,280
South Sudan,Russian Federation,5,281
Venezuela,Russian Federation,5,282
Afghanistan,Afghanistan,0,283
Venezuela,Anguilla,0,284
Venezuela,Cayman Islands,0,285
Venezuela,Grenada,0,286
Venezuela,Guyana,0,287
Venezuela,Jamaica,0,288
Myanmar,Myanmar,0,289
Venezuela,Saint Kitts and Nevis,0,290
Venezuela,Saint Vincent and the Grenadines,0,291
South Sudan,South Sudan,0,292
