"Country of origin","Country of asylum","FDP","Region","Income group","rank"
"Syrian Arab Republic","Turkey",3737369,"Europe & Central Asia","Upper middle income",1
"Syrian Arab Republic","Lebanon",840929,"Middle East & North Africa","Upper middle income",2
"Syrian Arab Republic","Germany",675490,"Europe & Central Asia","High income",3
"Syrian Arab Republic","Jordan",672952,"Middle East & North Africa","Upper middle income",4
"Syrian Arab Republic","Iraq",254561,"Middle East & North Africa","Upper middle income",5
"Syrian Arab Republic","Egypt",136727,"Middle East & North Africa","Lower middle income",6
"Syrian Arab Republic","Sweden",116743,"Europe & Central Asia","High income",7
"Syrian Arab Republic","Sudan",93482,"Sub-Saharan Africa","Lower middle income",8
"Syrian Arab Republic","Austria",72966,"Europe & Central Asia","High income",9
"Syrian Arab Republic","Netherlands",45750,"Europe & Central Asia","High income",10
"Syrian Arab Republic","Greece",43305,"Europe & Central Asia","High income",11
"Syrian Arab Republic","France",38744,"Europe & Central Asia","High income",12
"Syrian Arab Republic","Bulgaria",22435,"Europe & Central Asia","Upper middle income",13
"Syrian Arab Republic","Belgium",21168,"Europe & Central Asia","High income",14
"Syrian Arab Republic","Switzerland",20401,"Europe & Central Asia","High income",15
"Syrian Arab Republic","Denmark",19928,"Europe & Central Asia","High income",16
"Syrian Arab Republic","United Kingdom",16775,"Europe & Central Asia","High income",17
"Syrian Arab Republic","Spain",16592,"Europe & Central Asia","High income",18
"Syrian Arab Republic","Cyprus",16280,"Europe & Central Asia","High income",19
"Syrian Arab Republic","Norway",16180,"Europe & Central Asia","High income",20
"Syrian Arab Republic","Libya",13124,"Middle East & North Africa","Upper middle income",21
"Syrian Arab Republic","USA",12299,"North America","High income",22
"Syrian Arab Republic","Saudi Arabia",10070,"Middle East & North Africa","High income",23
"Syrian Arab Republic","Brazil",7889,"Latin America & Caribbean","Upper middle income",24
"Syrian Arab Republic","United Arab Emirates",6965,"Middle East & North Africa","High income",25
"Syrian Arab Republic","Algeria",6659,"Middle East & North Africa","Upper middle income",26
"Syrian Arab Republic","Armenia",5343,"Europe & Central Asia","Upper middle income",27
"Syrian Arab Republic","Morocco",5082,"Middle East & North Africa","Lower middle income",28
"Syrian Arab Republic","Italy",4430,"Europe & Central Asia","High income",29
"Syrian Arab Republic","Malaysia",3307,"East Asia & Pacific","Upper middle income",30
"Syrian Arab Republic","Yemen",2933,"Middle East & North Africa","Low income",31
"Syrian Arab Republic","Ireland",2885,"Europe & Central Asia","High income",32
"Syrian Arab Republic","Luxembourg",2824,"Europe & Central Asia","High income",33
"Syrian Arab Republic","Finland",2726,"Europe & Central Asia","High income",34
"Syrian Arab Republic","Tunisia",2523,"Middle East & North Africa","Lower middle income",35
"Syrian Arab Republic","Romania",2437,"Europe & Central Asia","Upper middle income",36
"Syrian Arab Republic","Malta",2330,"Middle East & North Africa","High income",37
"Syrian Arab Republic","Rep. of Korea",1278,"East Asia & Pacific","High income",38
"Syrian Arab Republic","Somalia",1056,"Sub-Saharan Africa","Low income",39
"Syrian Arab Republic","Nigeria",904,"Sub-Saharan Africa","Lower middle income",40
"Syrian Arab Republic","Hungary",869,"Europe & Central Asia","High income",41
"Syrian Arab Republic","Portugal",861,"Europe & Central Asia","High income",42
"Syrian Arab Republic","Australia",693,"East Asia & Pacific","High income",43
"Syrian Arab Republic","Ethiopia",667,"Sub-Saharan Africa","Low income",44
"Syrian Arab Republic","Ukraine",659,"Europe & Central Asia","Lower middle income",45
"Syrian Arab Republic","Croatia",560,"Europe & Central Asia","High income",46
"Syrian Arab Republic","Argentina",531,"Latin America & Caribbean","Upper middle income",47
"Syrian Arab Republic","Mauritania",509,"Sub-Saharan Africa","Lower middle income",48
"Syrian Arab Republic","Lithuania",468,"Europe & Central Asia","High income",49
"Syrian Arab Republic","Georgia",462,"Europe & Central Asia","Upper middle income",50
"Syrian Arab Republic","Mali",457,"Sub-Saharan Africa","Low income",51
"Syrian Arab Republic","Russian Federation",359,"Europe & Central Asia","Upper middle income",52
"Syrian Arab Republic","Czechia",358,"Europe & Central Asia","High income",53
"Syrian Arab Republic","Canada",354,"North America","High income",54
"Syrian Arab Republic","Slovenia",339,"Europe & Central Asia","High income",55
"Syrian Arab Republic","Latvia",317,"Europe & Central Asia","High income",56
"Syrian Arab Republic","Poland",316,"Europe & Central Asia","High income",57
"Syrian Arab Republic","Ghana",299,"Sub-Saharan Africa","Lower middle income",58
"Syrian Arab Republic","Kuwait",254,"Middle East & North Africa","High income",59
"Syrian Arab Republic","Thailand",220,"East Asia & Pacific","Upper middle income",60
"Syrian Arab Republic","Iceland",211,"Europe & Central Asia","High income",61
"Syrian Arab Republic","Philippines",174,"East Asia & Pacific","Lower middle income",62
"Syrian Arab Republic","Rep. of Moldova",173,"Europe & Central Asia","Lower middle income",63
"Syrian Arab Republic","Ivory Coast",157,"Sub-Saharan Africa","Lower middle income",64
"Syrian Arab Republic","Ecuador",157,"Latin America & Caribbean","Upper middle income",65
"Syrian Arab Republic","Chile",145,"Latin America & Caribbean","High income",66
"Syrian Arab Republic","Qatar",139,"Middle East & North Africa","High income",67
