Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern
2021,Togo,TGO,Germany,DEU,988,491,0,,0,0
2021,Togo,TGO,Ghana,GHA,3466,67,0,,0,0
2021,Togo,TGO,Greece,GRC,77,114,0,,0,0
2021,Togo,TGO,Guinea,GIN,7,0,0,,0,0
2021,Togo,TGO,Cote d'Ivoire,CIV,17,12,0,,0,0
2021,Togo,TGO,Ireland,IRL,21,26,0,,0,0
2021,Togo,TGO,Israel,ISR,0,6,0,,0,0
2021,Togo,TGO,Italy,ITA,727,112,0,,0,0
2021,Togo,TGO,Rep. of Korea,KOR,0,17,0,,0,0
2021,Togo,TGO,Liberia,LBR,5,0,0,,0,0
2021,Togo,TGO,Luxembourg,LUX,8,5,0,,0,0
2021,Togo,TGO,Mauritania,MRT,23,143,0,,0,0
2021,Togo,TGO,Mexico,MEX,16,57,0,,0,0
2021,Togo,TGO,Mali,MLI,22,5,0,,0,0
2021,Togo,TGO,Malaysia,MYS,0,5,0,,0,0
2021,Togo,TGO,Morocco,MAR,0,10,0,,0,0
2021,Togo,TGO,Malta,MLT,5,8,0,,0,0
2021,Togo,TGO,Netherlands,NLD,16,0,0,,0,0
2021,Togo,TGO,Niger,NER,5,15,0,,0,0
2021,Togo,TGO,Nigeria,NGA,26,10,0,,0,0
2021,Togo,TGO,Portugal,PRT,7,0,0,,0,0
2021,Togo,TGO,South Africa,ZAF,12,30,0,,0,0
2021,Togo,TGO,Senegal,SEN,0,32,0,,0,0
2021,Togo,TGO,Spain,ESP,5,40,0,,0,0
2021,Togo,TGO,Switzerland,CHE,556,12,0,,0,0
2021,Togo,TGO,Tunisia,TUN,0,12,0,,0,0
2021,Togo,TGO,United States of America,USA,524,691,0,,0,0
2021,Tonga,TON,Australia,AUS,31,831,0,,0,0
2021,Trinidad and Tobago,TTO,Brazil,BRA,0,8,0,,0,0
2021,Trinidad and Tobago,TTO,Canada,CAN,60,62,0,,0,0
2021,Trinidad and Tobago,TTO,United Kingdom of Great Britain and Northern Ireland,GBR,97,105,0,,0,0
2021,Trinidad and Tobago,TTO,Germany,DEU,7,5,0,,0,0
2021,Trinidad and Tobago,TTO,Ireland,IRL,0,5,0,,0,0
2021,Trinidad and Tobago,TTO,Netherlands,NLD,82,5,0,,0,0
2021,Trinidad and Tobago,TTO,Spain,ESP,5,0,0,,0,0
2021,Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,0,0,0,,0,389
2021,Trinidad and Tobago,TTO,United States of America,USA,42,276,0,,0,0
2021,Tunisia,TUN,Egypt,EGY,5,0,0,,0,0
2021,Tunisia,TUN,Argentina,ARG,0,5,0,,0,0
2021,Tunisia,TUN,Australia,AUS,0,9,0,,0,0
2021,Tunisia,TUN,Austria,AUT,8,71,0,,0,0
2021,Tunisia,TUN,Bahrain,BHR,0,6,0,,0,0
2021,Tunisia,TUN,Belgium,BEL,57,70,0,,0,0
2021,Tunisia,TUN,Brazil,BRA,5,140,0,,0,0
2021,Tunisia,TUN,Bosnia and Herzegovina,BIH,0,5,0,,0,5
2021,Tunisia,TUN,Canada,CAN,172,187,0,,0,0
2021,Tunisia,TUN,Czechia,CZE,0,5,0,,0,0
2021,Tunisia,TUN,Denmark,DNK,0,5,0,,0,0
2021,Tunisia,TUN,Finland,FIN,5,10,0,,0,0
2021,Tunisia,TUN,France,FRA,432,208,0,,0,0
2021,Tunisia,TUN,United Kingdom of Great Britain and Northern Ireland,GBR,68,85,0,,0,0
2021,Tunisia,TUN,Germany,DEU,252,681,0,,0,0
2021,Tunisia,TUN,Greece,GRC,25,25,0,,0,0
2021,Tunisia,TUN,Croatia,HRV,0,9,0,,0,5
2021,Tunisia,TUN,Hungary,HUN,8,0,0,,0,0
2021,Tunisia,TUN,Iceland,ISL,5,0,0,,0,0
2021,Tunisia,TUN,Ireland,IRL,7,8,0,,0,0
2021,Tunisia,TUN,Iraq,IRQ,0,6,0,,0,0
2021,Tunisia,TUN,Italy,ITA,287,573,0,,0,0
2021,Tunisia,TUN,Jordan,JOR,11,9,0,,0,0
2021,Tunisia,TUN,Rep. of Korea,KOR,0,67,0,,0,0
2021,Tunisia,TUN,Lebanon,LBN,11,0,0,,0,0
2021,Tunisia,TUN,Luxembourg,LUX,0,15,0,,0,0
2021,Tunisia,TUN,Malta,MLT,13,7,0,,0,0
2021,Tunisia,TUN,Netherlands,NLD,24,46,0,,0,0
2021,Tunisia,TUN,Norway,NOR,5,0,0,,0,0
2021,Tunisia,TUN,Romania,ROU,5,13,0,,0,0
2021,Tunisia,TUN,Saudi Arabia,SAU,7,0,0,,0,0
2021,Tunisia,TUN,Spain,ESP,29,760,0,,0,0
2021,Tunisia,TUN,Slovenia,SVN,0,15,0,,0,0
2021,Tunisia,TUN,Sweden,SWE,48,45,0,,0,0
2021,Tunisia,TUN,Switzerland,CHE,185,33,0,,0,0
2021,Tunisia,TUN,Syrian Arab Rep.,SYR,5,5,0,,0,0
2021,Tunisia,TUN,Ukraine,UKR,0,5,0,,0,0
2021,Tunisia,TUN,United States of America,USA,93,350,0,,0,0
2021,Turkey,TUR,Algeria,DZA,0,13,0,,0,0
2021,Turkey,TUR,Angola,AGO,0,42,0,,0,0
2021,Turkey,TUR,Egypt,EGY,0,377,0,,0,0
2021,Turkey,TUR,Argentina,ARG,7,0,0,,0,0
2021,Turkey,TUR,Armenia,ARM,16,9,0,,0,0
2021,Turkey,TUR,Australia,AUS,825,415,0,,0,0
2021,Turkey,TUR,Austria,AUT,616,439,0,,0,0
2021,Turkey,TUR,Belgium,BEL,2807,830,0,,0,0
2021,Turkey,TUR,Benin,BEN,10,0,0,,0,0
2021,Turkey,TUR,Bangladesh,BGD,0,8,0,,0,0
2021,Turkey,TUR,Burkina Faso,BFA,30,0,0,,0,0
2021,Turkey,TUR,Belarus,BLR,9,10,0,,0,0
2021,Turkey,TUR,Brazil,BRA,7,281,0,,0,0
2021,Turkey,TUR,Bosnia and Herzegovina,BIH,23,35,0,,0,68
2021,Turkey,TUR,Bulgaria,BGR,9,5,0,,0,0
2021,Turkey,TUR,Cambodia,KHM,0,5,0,,0,0
2021,Turkey,TUR,Canada,CAN,7571,776,0,,0,0
2021,Turkey,TUR,Central African Rep.,CAF,8,0,0,,0,0
2021,Turkey,TUR,Chile,CHL,27,5,0,,0,0
2021,Turkey,TUR,Colombia,COL,5,34,0,,0,0
2021,Turkey,TUR,Costa Rica,CRI,0,5,0,,0,0
2021,Turkey,TUR,Cyprus,CYP,241,227,0,,0,0
2021,Turkey,TUR,Czechia,CZE,12,13,0,,0,0
2021,Turkey,TUR,Denmark,DNK,20,27,0,,0,0
2021,Turkey,TUR,Ecuador,ECU,5,0,0,,0,0
2021,Turkey,TUR,Estonia,EST,22,0,0,,0,0
2021,Turkey,TUR,Finland,FIN,784,155,0,,0,0
2021,Turkey,TUR,France,FRA,13180,3694,0,,0,0
2021,Turkey,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,2427,1722,0,,0,0
2021,Turkey,TUR,Georgia,GEO,0,105,0,,0,0
2021,Turkey,TUR,Germany,DEU,34465,13566,0,,0,0
2021,Turkey,TUR,Ghana,GHA,52,5,0,,0,0
2021,Turkey,TUR,Guinea-Bissau,GNB,0,5,0,,0,0
2021,Turkey,TUR,Greece,GRC,994,4125,0,,0,0
2021,Turkey,TUR,Croatia,HRV,26,24,0,,0,14
2021,Turkey,TUR,Hungary,HUN,33,0,0,,0,0
2021,Turkey,TUR,Iceland,ISL,10,0,0,,0,0
2021,Turkey,TUR,Cote d'Ivoire,CIV,34,0,0,,0,0
2021,Turkey,TUR,India,IND,5,5,0,,0,0
2021,Turkey,TUR,Indonesia,IDN,0,11,0,,0,0
2021,Turkey,TUR,Ireland,IRL,18,20,0,,0,0
2021,Turkey,TUR,Iraq,IRQ,13272,3924,0,,0,0
2021,Turkey,TUR,Israel,ISR,5,315,0,,0,0
2021,Turkey,TUR,Italy,ITA,1573,312,0,,0,0
2021,Turkey,TUR,Japan,JPN,46,0,0,,0,0
2021,Turkey,TUR,Kenya,KEN,118,69,0,,0,0
2021,Turkey,TUR,Kyrgyzstan,KGZ,0,384,0,,0,0
2021,Turkey,TUR,Rep. of Korea,KOR,0,199,0,,0,0
2021,Turkey,TUR,Liberia,LBR,16,0,0,,0,0
2021,Turkey,TUR,Lebanon,LBN,7,7,0,,0,0
2021,Turkey,TUR,Lithuania,LTU,63,10,0,,0,0
2021,Turkey,TUR,Luxembourg,LUX,68,80,0,,0,0
2021,Turkey,TUR,Latvia,LVA,30,0,0,,0,0
2021,Turkey,TUR,Madagascar,MDG,5,0,0,,0,0
2021,Turkey,TUR,Mauritania,MRT,5,27,0,,0,0
2021,Turkey,TUR,North Macedonia,MKD,0,7,0,,0,0
2021,Turkey,TUR,Rep. of Moldova,MDA,63,21,0,,0,0
2021,Turkey,TUR,Mexico,MEX,9,6,0,,0,0
2021,Turkey,TUR,Mali,MLI,18,8,0,,0,0
2021,Turkey,TUR,Malawi,MWI,0,61,0,,0,0
2021,Turkey,TUR,Montenegro,MNE,0,13,0,,0,0
2021,Turkey,TUR,Morocco,MAR,5,18,0,,0,0
2021,Turkey,TUR,Mozambique,MOZ,0,14,0,,0,0
2021,Turkey,TUR,Malta,MLT,7,7,0,,0,0
2021,Turkey,TUR,Netherlands,NLD,3786,505,0,,0,0
2021,Turkey,TUR,Nigeria,NGA,177,174,0,,0,0
2021,Turkey,TUR,Norway,NOR,1073,27,0,,0,0
2021,Turkey,TUR,New Zealand,NZL,56,7,0,,0,0
2021,Turkey,TUR,Pakistan,PAK,6,0,0,,0,0
2021,Turkey,TUR,Paraguay,PRY,5,0,0,,0,0
2021,Turkey,TUR,Peru,PER,44,43,0,,0,0
2021,Turkey,TUR,Philippines,PHL,54,22,0,,0,0
2021,Turkey,TUR,Poland,POL,187,53,0,,0,0
2021,Turkey,TUR,Portugal,PRT,29,5,0,,0,0
2021,Turkey,TUR,Romania,ROU,53,29,0,,0,0
2021,Turkey,TUR,South Africa,ZAF,5,10,0,,0,0
2021,Turkey,TUR,Russian Federation,RUS,5,0,0,,0,0
2021,Turkey,TUR,Senegal,SEN,5,49,0,,0,0
2021,Turkey,TUR,Spain,ESP,141,335,0,,0,0
2021,Turkey,TUR,Serbia and Kosovo: S/RES/1244 (1999),SRB,95,22,0,,0,0
2021,Turkey,TUR,Sudan,SDN,5,0,0,,0,0
2021,Turkey,TUR,Slovakia,SVK,5,0,0,,0,0
2021,Turkey,TUR,Slovenia,SVN,59,7,0,,0,0
2021,Turkey,TUR,Sweden,SWE,2201,380,0,,0,0
2021,Turkey,TUR,Switzerland,CHE,6197,822,0,,0,0
2021,Turkey,TUR,Syrian Arab Rep.,SYR,6,8,0,,0,0
2021,Turkey,TUR,United Rep. of Tanzania,TZA,0,10,0,,0,0
2021,Turkey,TUR,Togo,TGO,67,6,0,,0,0
2021,Turkey,TUR,Tunisia,TUN,5,0,0,,0,0
2021,Turkey,TUR,Uganda,UGA,50,16,0,,0,0
2021,Turkey,TUR,Ukraine,UKR,5,18,0,,0,0
2021,Turkey,TUR,Uruguay,URY,13,5,0,,0,0
2021,Turkey,TUR,United States of America,USA,3522,6642,0,,0,0
2021,Turkey,TUR,Venezuela (Bolivarian Republic of),VEN,6,0,0,,0,0
2021,Turkey,TUR,Zambia,ZMB,65,0,0,,0,0
2021,United Arab Emirates,ARE,Australia,AUS,5,0,0,,0,0
2021,United Arab Emirates,ARE,Canada,CAN,50,32,0,,0,0
2021,United Arab Emirates,ARE,Ecuador,ECU,5,0,0,,0,0
2021,United Arab Emirates,ARE,France,FRA,5,0,0,,0,0
2021,United Arab Emirates,ARE,United Kingdom of Great Britain and Northern Ireland,GBR,23,13,0,,0,0
2021,United Arab Emirates,ARE,Germany,DEU,38,0,0,,0,0
2021,United Arab Emirates,ARE,Italy,ITA,0,5,0,,0,0
2021,United Arab Emirates,ARE,Jordan,JOR,0,5,0,,0,0
2021,United Arab Emirates,ARE,Philippines,PHL,6,7,0,,0,0
2021,United Arab Emirates,ARE,Spain,ESP,0,5,0,,0,0
2021,United Arab Emirates,ARE,Sweden,SWE,5,0,0,,0,0
2021,United Arab Emirates,ARE,United States of America,USA,71,174,0,,0,0
2021,Uganda,UGA,Angola,AGO,0,6,0,,0,0
2021,Uganda,UGA,Egypt,EGY,13,19,0,,0,0
2021,Uganda,UGA,Australia,AUS,60,94,0,,0,0
2021,Uganda,UGA,Austria,AUT,32,5,0,,0,0
2021,Uganda,UGA,Burundi,BDI,5,0,0,,0,10
2021,Uganda,UGA,Belgium,BEL,21,20,0,,0,0
2021,Uganda,UGA,Botswana,BWA,19,0,0,,0,0
2021,Uganda,UGA,Brazil,BRA,6,36,0,,0,0
2021,Uganda,UGA,Canada,CAN,943,579,0,,0,0
2021,Uganda,UGA,Central African Rep.,CAF,7,0,0,,0,0
2021,Uganda,UGA,China,CHN,5,93,0,,0,0
2021,Uganda,UGA,Dem. Rep. of the Congo,COD,26,0,0,,0,0
2021,Uganda,UGA,Czechia,CZE,5,0,0,,0,0
2021,Uganda,UGA,Denmark,DNK,73,5,0,,0,0
2021,Uganda,UGA,Ethiopia,ETH,11,5,0,,0,0
2021,Uganda,UGA,Finland,FIN,35,5,0,,0,0
2021,Uganda,UGA,France,FRA,176,10,0,,0,0
2021,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,1216,288,0,,0,0
2021,Uganda,UGA,Germany,DEU,233,347,0,,0,0
2021,Uganda,UGA,Ghana,GHA,10,0,0,,0,0
2021,Uganda,UGA,Greece,GRC,65,39,0,,0,0
2021,Uganda,UGA,China, Hong Kong SAR,HKG,5,0,0,,0,0
2021,Uganda,UGA,Hungary,HUN,7,0,0,,0,0
2021,Uganda,UGA,Iceland,ISL,15,0,0,,0,0
2021,Uganda,UGA,India,IND,0,15,0,,0,0
2021,Uganda,UGA,Indonesia,IDN,5,16,0,,0,0
2021,Uganda,UGA,Ireland,IRL,41,40,0,,0,0
2021,Uganda,UGA,Israel,ISR,0,179,0,,0,0
2021,Uganda,UGA,Italy,ITA,5,0,0,,0,0
2021,Uganda,UGA,Japan,JPN,5,0,0,,0,0
2021,Uganda,UGA,Kenya,KEN,849,2044,0,,0,0
2021,Uganda,UGA,Rep. of Korea,KOR,38,51,0,,0,0
2021,Uganda,UGA,Lesotho,LSO,9,5,0,,0,0
2021,Uganda,UGA,Luxembourg,LUX,5,0,0,,0,0
2021,Uganda,UGA,Mexico,MEX,0,43,0,,0,0
2021,Uganda,UGA,Malaysia,MYS,0,6,0,,0,0
2021,Uganda,UGA,Malawi,MWI,5,9,0,,0,0
2021,Uganda,UGA,Mozambique,MOZ,5,36,0,,0,0
2021,Uganda,UGA,Malta,MLT,0,5,0,,0,0
2021,Uganda,UGA,Namibia,NAM,5,8,0,,0,0
2021,Uganda,UGA,Netherlands,NLD,480,122,0,,0,0
2021,Uganda,UGA,Norway,NOR,114,5,0,,0,0
2021,Uganda,UGA,New Zealand,NZL,5,5,0,,0,0
2021,Uganda,UGA,Portugal,PRT,5,0,0,,0,0
2021,Uganda,UGA,Romania,ROU,5,0,0,,0,0
2021,Uganda,UGA,South Africa,ZAF,459,4061,0,,0,0
2021,Uganda,UGA,Spain,ESP,7,5,0,,0,0
2021,Uganda,UGA,Sudan,SDN,5,0,0,,0,0
