Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2010,Afghanistan,AFG,Australia,AUS,G,AR,C,11,0,0,0,11
2010,Albania,ALB,Australia,AUS,G,AR,C,0,0,11,0,11
2010,Egypt,EGY,Australia,AUS,G,AR,C,22,0,30,0,52
2010,Bahrain,BHR,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Bangladesh,BGD,Australia,AUS,G,AR,C,10,0,23,5,38
2010,Cambodia,KHM,Australia,AUS,G,AR,C,0,0,5,0,5
2010,China,CHN,Australia,AUS,G,AR,C,172,0,587,45,804
2010,Cameroon,CMR,Australia,AUS,G,AR,C,0,0,5,0,5
2010,"Dem. Rep. of the Congo",COD,Australia,AUS,G,AR,C,5,0,0,0,5
2010,Colombia,COL,Australia,AUS,G,AR,C,0,0,14,0,14
2010,Ethiopia,ETH,Australia,AUS,G,AR,C,12,0,0,0,12
2010,Fiji,FJI,Australia,AUS,G,AR,C,45,0,237,40,322
2010,Palestinian,PSE,Australia,AUS,G,AR,C,5,0,0,0,5
2010,"United Kingdom of Great Britain and Northern Ireland",GBR,Australia,AUS,G,AR,C,0,0,0,5,5
2010,Ghana,GHA,Australia,AUS,G,AR,C,0,0,10,0,10
2010,India,IND,Australia,AUS,G,AR,C,16,0,148,5,169
2010,Indonesia,IDN,Australia,AUS,G,AR,C,5,0,91,10,106
2010,"Iran (Islamic Rep. of)",IRN,Australia,AUS,G,AR,C,25,0,10,0,35
2010,Iraq,IRQ,Australia,AUS,G,AR,C,11,0,0,0,11
2010,Israel,ISR,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Jordan,JOR,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Kenya,KEN,Australia,AUS,G,AR,C,5,0,5,0,10
2010,"Rep. of Korea",KOR,Australia,AUS,G,AR,C,5,0,25,0,30
2010,"Dem. People's Rep. of Korea",PRK,Australia,AUS,G,AR,C,11,0,0,0,11
2010,Kuwait,KWT,Australia,AUS,G,AR,C,5,0,0,0,5
2010,Liberia,LBR,Australia,AUS,G,AR,C,5,0,0,0,5
2010,Lebanon,LBN,Australia,AUS,G,AR,C,26,0,65,0,91
2010,"Sri Lanka",LKA,Australia,AUS,G,AR,C,28,0,23,5,56
2010,"North Macedonia",MKD,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Malaysia,MYS,Australia,AUS,G,AR,C,5,0,216,10,231
2010,Mongolia,MNG,Australia,AUS,G,AR,C,0,0,10,0,10
2010,Myanmar,MMR,Australia,AUS,G,AR,C,12,0,5,0,17
2010,Nepal,NPL,Australia,AUS,G,AR,C,10,0,24,5,39
2010,Nigeria,NGA,Australia,AUS,G,AR,C,5,0,11,0,16
2010,"New Zealand",NZL,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Pakistan,PAK,Australia,AUS,G,AR,C,20,0,29,0,49
2010,Philippines,PHL,Australia,AUS,G,AR,C,5,0,43,0,48
2010,"Papua New Guinea",PNG,Australia,AUS,G,AR,C,5,0,5,0,10
2010,Romania,ROU,Australia,AUS,G,AR,C,0,0,5,0,5
2010,"South Africa",ZAF,Australia,AUS,G,AR,C,5,0,5,0,10
2010,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Singapore,SGP,Australia,AUS,G,AR,C,0,0,5,0,5
2010,"Sierra Leone",SLE,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Somalia,SOM,Australia,AUS,G,AR,C,5,0,0,0,5
2010,"Viet Nam",VNM,Australia,AUS,G,AR,C,0,0,13,5,18
2010,Sudan,SDN,Australia,AUS,G,AR,C,5,0,0,0,5
2010,"Syrian Arab Rep.",SYR,Australia,AUS,G,AR,C,5,0,0,0,5
2010,"United Rep. of Tanzania",TZA,Australia,AUS,G,AR,C,5,0,0,0,5
2010,Thailand,THA,Australia,AUS,G,AR,C,0,0,5,5,10
2010,Tonga,TON,Australia,AUS,G,AR,C,0,0,20,0,20
2010,Türkiye,TUR,Australia,AUS,G,AR,C,11,0,10,0,21
2010,Ukraine,UKR,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Uzbekistan,UZB,Australia,AUS,G,AR,C,5,0,5,0,10
2010,Zimbabwe,ZWE,Australia,AUS,G,AR,C,36,0,25,0,61
2010,Stateless,XXA,Australia,AUS,G,AR,C,0,0,5,0,5
2010,Afghanistan,AFG,Azerbaijan,AZE,G,AR,C,0,0,40,0,40
2010,"Iran (Islamic Rep. of)",IRN,Azerbaijan,AZE,G,AR,C,0,0,5,0,5
2010,Iraq,IRQ,Azerbaijan,AZE,G,AR,C,0,0,15,0,15
2011,Afghanistan,AFG,Australia,AUS,G,AR,C,13,0,0,0,13
2011,Albania,ALB,Australia,AUS,G,AR,C,11,0,0,0,11
2011,Egypt,EGY,Australia,AUS,G,AR,C,126,0,90,12,230
2011,Bangladesh,BGD,Australia,AUS,G,AR,C,19,0,66,5,90
2011,Brazil,BRA,Australia,AUS,G,AR,C,0,0,5,0,5
2011,Cambodia,KHM,Australia,AUS,G,AR,C,5,0,0,0,5
2011,China,CHN,Australia,AUS,G,AR,C,209,0,593,40,846
2011,Cameroon,CMR,Australia,AUS,G,AR,C,5,0,0,0,5
2011,"Dem. Rep. of the Congo",COD,Australia,AUS,G,AR,C,5,0,0,0,5
2011,Colombia,COL,Australia,AUS,G,AR,C,16,0,5,0,21
2011,Ethiopia,ETH,Australia,AUS,G,AR,C,5,0,5,0,10
2011,Fiji,FJI,Australia,AUS,G,AR,C,44,0,198,20,262
2011,Palestinian,PSE,Australia,AUS,G,AR,C,15,0,0,0,15
2011,Ghana,GHA,Australia,AUS,G,AR,C,0,0,12,0,12
2011,India,IND,Australia,AUS,G,AR,C,17,0,205,26,248
2011,Indonesia,IDN,Australia,AUS,G,AR,C,5,0,137,5,147
2011,"Iran (Islamic Rep. of)",IRN,Australia,AUS,G,AR,C,54,0,11,5,70
2011,Iraq,IRQ,Australia,AUS,G,AR,C,43,0,0,5,48
2011,Jordan,JOR,Australia,AUS,G,AR,C,0,0,14,0,14
2011,Kazakhstan,KAZ,Australia,AUS,G,AR,C,5,0,0,0,5
2011,Kenya,KEN,Australia,AUS,G,AR,C,5,0,5,0,10
2011,"Rep. of Korea",KOR,Australia,AUS,G,AR,C,5,0,58,0,67
2011,"Dem. People's Rep. of Korea",PRK,Australia,AUS,G,AR,C,5,0,5,0,10
2011,Kuwait,KWT,Australia,AUS,G,AR,C,5,0,0,0,5
2011,Libya,LBY,Australia,AUS,G,AR,C,5,0,0,0,5
2011,Lebanon,LBN,Australia,AUS,G,AR,C,42,0,67,5,114
2011,"Sri Lanka",LKA,Australia,AUS,G,AR,C,37,0,51,10,98
2011,Lithuania,LTU,Australia,AUS,G,AR,C,0,0,5,0,5
2011,Malaysia,MYS,Australia,AUS,G,AR,C,0,0,108,11,119
2011,Mongolia,MNG,Australia,AUS,G,AR,C,0,0,10,0,10
2011,Mauritius,MUS,Australia,AUS,G,AR,C,0,0,5,11,16
2011,Myanmar,MMR,Australia,AUS,G,AR,C,13,0,5,0,18
2011,Nepal,NPL,Australia,AUS,G,AR,C,16,0,73,5,94
2011,Nigeria,NGA,Australia,AUS,G,AR,C,5,0,16,0,21
2011,Pakistan,PAK,Australia,AUS,G,AR,C,48,0,62,5,115
2011,Peru,PER,Australia,AUS,G,AR,C,0,0,5,0,5
2011,Philippines,PHL,Australia,AUS,G,AR,C,5,0,39,0,44
2011,"Papua New Guinea",PNG,Australia,AUS,G,AR,C,0,0,18,0,18
2011,Poland,POL,Australia,AUS,G,AR,C,0,0,5,0,5
2011,"South Africa",ZAF,Australia,AUS,G,AR,C,0,0,13,0,13
2011,"Russian Federation",RUS,Australia,AUS,G,AR,C,5,0,0,0,5
2011,"El Salvador",SLV,Australia,AUS,G,AR,C,0,0,5,0,5
2011,"Sierra Leone",SLE,Australia,AUS,G,AR,C,5,0,0,0,5
2011,"Solomon Islands",SLB,Australia,AUS,G,AR,C,0,0,5,0,5
2011,"Viet Nam",VNM,Australia,AUS,G,AR,C,5,0,59,5,69
2011,Sudan,SDN,Australia,AUS,G,AR,C,0,0,0,5,5
2011,"Syrian Arab Rep.",SYR,Australia,AUS,G,AR,C,14,0,0,0,14
2011,Thailand,THA,Australia,AUS,G,AR,C,0,0,10,5,15
2011,Timor-Leste,TLS,Australia,AUS,G,AR,C,0,0,5,0,5
2011,Tonga,TON,Australia,AUS,G,AR,C,0,0,24,0,24
2011,Türkiye,TUR,Australia,AUS,G,AR,C,28,0,15,0,43
2011,"United Arab Emirates",ARE,Australia,AUS,G,AR,C,5,0,5,0,10
2011,Uganda,UGA,Australia,AUS,G,AR,C,5,0,0,0,5
2011,Ukraine,UKR,Australia,AUS,G,AR,C,5,0,5,0,10
2011,"United States of America",USA,Australia,AUS,G,AR,C,0,0,10,0,10
2011,Zimbabwe,ZWE,Australia,AUS,G,AR,C,43,0,26,0,69
2011,Stateless,XXA,Australia,AUS,G,AR,C,11,0,0,0,11
2011,Afghanistan,AFG,Azerbaijan,AZE,G,AR,C,0,0,5,0,5
2011,"Unknown ",,Belgium,BEL,G,AR,C,347,52,9840,0,11155
2011,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,198,0,816,69,1083
2011,Albania,ALB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,27,0,65,5,97
2011,Algeria,DZA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,15,0,99,10,124
2011,Angola,AGO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,10,0,17,5,32
2011,Egypt,EGY,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,17,0,42,5,64
2011,Armenia,ARM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,13,0,0,0,13
2011,Azerbaijan,AZE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Bahrain,BHR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,10,0,5,0,15
2011,Burundi,BDI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Bangladesh,BGD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,23,0,205,12,240
2011,Bhutan,BTN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,5,0,10
2011,Belarus,BLR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,5,0,10
2011,"Bolivia (Plurinational State of)",BOL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Botswana,BWA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,10,0,10
2011,Brazil,BRA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Chad,TCD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,China,CHN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,91,0,406,40,537
2011,Cameroon,CMR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,14,0,25,5,44
2011,Congo,COG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,11,0,11
2011,"Dem. Rep. of the Congo",COD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,47,0,78,11,136
2011,Colombia,COL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,13,0,13
2011,Cuba,CUB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Djibouti,DJI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Ecuador,ECU,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Eritrea,ERI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,102,0,106,11,219
2011,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,23,0,40,5,68
2011,Gambia,GMB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,34,0,92,5,131
2011,Palestinian,PSE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,17,0,98,5,120
2011,Georgia,GEO,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,19,0,24
2011,Ghana,GHA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,10,0,46,0,56
2011,Grenada,GRD,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Guinea,GIN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,38,0,43
2011,"Cote d'Ivoire",CIV,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,25,0,72,5,102
2011,India,IND,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,15,0,84,10,109
2011,"Iran (Islamic Rep. of)",IRN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,376,0,800,75,1251
2011,Iraq,IRQ,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,66,0,210,27,303
2011,Jamaica,JAM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,22,0,44,5,71
2011,Jordan,JOR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,10,0,10
2011,Kenya,KEN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,12,0,47,0,59
2011,Kyrgyzstan,KGZ,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,"Dem. People's Rep. of Korea",PRK,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,12,0,11,0,23
2011,Kuwait,KWT,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,13,0,17,0,30
2011,Liberia,LBR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Libya,LBY,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,92,0,247,45,384
2011,Lebanon,LBN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,25,5,35
2011,"Sri Lanka",LKA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,467,0,751,46,1264
2011,Mexico,MEX,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Malaysia,MYS,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,10,0,14,0,24
2011,Malawi,MWI,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,17,0,51,5,73
2011,Mongolia,MNG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,11,0,16
2011,Morocco,MAR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,15,0,20
2011,Mauritius,MUS,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,14,0,14
2011,Myanmar,MMR,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,65,0,34,5,104
2011,Namibia,NAM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,11,0,11
2011,Nepal,NPL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,19,0,19
2011,Niger,NER,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,Nigeria,NGA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,64,0,256,19,339
2011,Pakistan,PAK,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,201,0,997,63,1261
2011,Philippines,PHL,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,5,0,5
2011,"South Africa",ZAF,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,13,0,39,5,57
2011,"Russian Federation",RUS,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,12,0,17,5,34
2011,Rwanda,RWA,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,14,0,0,0,14
2011,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,0,0,11,0,11
2011,Senegal,SEN,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,5,0,23,0,28
2011,"Sierra Leone",SLE,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,10,0,33,5,48
2011,Somalia,SOM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,114,0,80,21,215
2011,"Viet Nam",VNM,"United Kingdom of Great Britain and Northern Ireland",GBR,G,AR,C,19,0,38,5,62
