Country of Asylum ISO,Country of Origin ISO,Year,Refugees,Asylum Seekers,Country of Origin,Country of Asylum,Origin Latitude,Origin Longitude,Asylum Latitude,Asylum Longitude
AE,SD,2021,13,7,Sudan,United Arab Emirates,12.862807,30.217636,23.424076,53.847818
AE,SD,2019,8,11,Sudan,United Arab Emirates,12.862807,30.217636,23.424076,53.847818
AE,SD,2017,8,12,Sudan,United Arab Emirates,12.862807,30.217636,23.424076,53.847818
AE,SD,2020,13,7,Sudan,United Arab Emirates,12.862807,30.217636,23.424076,53.847818
AE,SD,2016,5,13,Sudan,United Arab Emirates,12.862807,30.217636,23.424076,53.847818
AE,SD,2018,8,12,Sudan,United Arab Emirates,12.862807,30.217636,23.424076,53.847818
AO,SD,2021,279,1670,Sudan,Angola,12.862807,30.217636,-11.202692,17.873887
AO,SD,2020,279,1670,Sudan,Angola,12.862807,30.217636,-11.202692,17.873887
AO,SD,2016,313,1670,Sudan,Angola,12.862807,30.217636,-11.202692,17.873887
AO,SD,2018,280,1670,Sudan,Angola,12.862807,30.217636,-11.202692,17.873887
AO,SD,2017,313,1670,Sudan,Angola,12.862807,30.217636,-11.202692,17.873887
AO,SD,2019,280,1670,Sudan,Angola,12.862807,30.217636,-11.202692,17.873887
AR,SD,2021,5,0,Sudan,Argentina,12.862807,30.217636,-38.416097,-63.616672
AR,SD,2017,5,0,Sudan,Argentina,12.862807,30.217636,-38.416097,-63.616672
AR,SD,2018,5,0,Sudan,Argentina,12.862807,30.217636,-38.416097,-63.616672
AR,SD,2019,5,0,Sudan,Argentina,12.862807,30.217636,-38.416097,-63.616672
AR,SD,2020,5,0,Sudan,Argentina,12.862807,30.217636,-38.416097,-63.616672
AR,SD,2016,5,0,Sudan,Argentina,12.862807,30.217636,-38.416097,-63.616672
AT,SD,2020,336,18,Sudan,Austria,12.862807,30.217636,47.516231,14.550072
AT,SD,2019,344,33,Sudan,Austria,12.862807,30.217636,47.516231,14.550072
AT,SD,2021,314,18,Sudan,Austria,12.862807,30.217636,47.516231,14.550072
AT,SD,2017,298,109,Sudan,Austria,12.862807,30.217636,47.516231,14.550072
AT,SD,2016,288,151,Sudan,Austria,12.862807,30.217636,47.516231,14.550072
AT,SD,2018,321,73,Sudan,Austria,12.862807,30.217636,47.516231,14.550072
AU,SD,2018,484,192,Sudan,Australia,12.862807,30.217636,-25.274398,133.775136
AU,SD,2019,543,151,Sudan,Australia,12.862807,30.217636,-25.274398,133.775136
AU,SD,2020,554,149,Sudan,Australia,12.862807,30.217636,-25.274398,133.775136
AU,SD,2017,239,303,Sudan,Australia,12.862807,30.217636,-25.274398,133.775136
AU,SD,2016,85,190,Sudan,Australia,12.862807,30.217636,-25.274398,133.775136
AU,SD,2021,557,155,Sudan,Australia,12.862807,30.217636,-25.274398,133.775136
BA,SD,2020,0,0,Sudan,Bosnia and Herzegovina,12.862807,30.217636,43.915886,17.679076
BA,SD,2019,0,0,Sudan,Bosnia and Herzegovina,12.862807,30.217636,43.915886,17.679076
BE,SD,2019,265,131,Sudan,Belgium,12.862807,30.217636,50.503887,4.469936
BE,SD,2020,259,230,Sudan,Belgium,12.862807,30.217636,50.503887,4.469936
BE,SD,2017,174,75,Sudan,Belgium,12.862807,30.217636,50.503887,4.469936
BE,SD,2016,174,91,Sudan,Belgium,12.862807,30.217636,50.503887,4.469936
BE,SD,2021,264,167,Sudan,Belgium,12.862807,30.217636,50.503887,4.469936
BE,SD,2018,174,210,Sudan,Belgium,12.862807,30.217636,50.503887,4.469936
BF,SD,2016,9,0,Sudan,Burkina Faso,12.862807,30.217636,12.238333,-1.561593
BG,SD,2017,16,0,Sudan,Bulgaria,12.862807,30.217636,42.733883,25.48583
BG,SD,2016,19,5,Sudan,Bulgaria,12.862807,30.217636,42.733883,25.48583
BG,SD,2020,12,0,Sudan,Bulgaria,12.862807,30.217636,42.733883,25.48583
BG,SD,2021,12,0,Sudan,Bulgaria,12.862807,30.217636,42.733883,25.48583
BG,SD,2018,16,0,Sudan,Bulgaria,12.862807,30.217636,42.733883,25.48583
BG,SD,2019,17,0,Sudan,Bulgaria,12.862807,30.217636,42.733883,25.48583
BH,SD,2016,10,0,Sudan,Bahrain,12.862807,30.217636,25.930414,50.637772
BJ,SD,2019,6,0,Sudan,Benin,12.862807,30.217636,9.30769,2.315834
BJ,SD,2021,13,7,Sudan,Benin,12.862807,30.217636,9.30769,2.315834
BJ,SD,2020,9,8,Sudan,Benin,12.862807,30.217636,9.30769,2.315834
BR,SD,2020,76,144,Sudan,Brazil,12.862807,30.217636,-14.235004,-51.92528
BR,SD,2021,76,143,Sudan,Brazil,12.862807,30.217636,-14.235004,-51.92528
BR,SD,2019,73,132,Sudan,Brazil,12.862807,30.217636,-14.235004,-51.92528
BR,SD,2017,71,104,Sudan,Brazil,12.862807,30.217636,-14.235004,-51.92528
BR,SD,2016,65,36,Sudan,Brazil,12.862807,30.217636,-14.235004,-51.92528
BR,SD,2018,73,116,Sudan,Brazil,12.862807,30.217636,-14.235004,-51.92528
